"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW036872.1.1",14.0,16.0,,,"CLAY","NA","Clay grey","UNK"
"GW036872.1.1",23.0,28.0,,,"SAND","NA","Sand white water supply","UNK"
"GW036872.1.1",22.0,23.0,,,"CLAY","NA","Clay grey hard sandy","UNK"
"GW036872.1.1",29.0,30.5,,,"CLAY","NA","Clay grey","UNK"
"GW036872.1.1",1.0,2.0,,,"SAND","NA","Sand black","UNK"
"GW036872.1.1",21.0,22.0,,,"SILT","NA","Silt black sandy","UNK"
"GW036872.1.1",5.0,10.0,,,"SAND","NA","Sand","UNK"
"GW036872.1.1",10.0,14.0,,,"SAND","NA","Sand cream water supply","UNK"
"GW036872.1.1",0.0,1.0,,,"SILT","NA","Silt black","UNK"
"GW036872.1.1",28.0,29.0,,,"CLAY","NA","Clay grey sandy","UNK"
"GW036872.1.1",2.0,5.0,,,"SAND","NA","Sand dark brown","UNK"
"GW036872.1.1",16.0,18.0,,,"CLAY","NA","Clay grey","UNK"
"GW036872.1.1",20.0,21.0,,,"CLAY","NA","Clay black silty","UNK"
"GW036872.1.1",18.0,20.0,,,"CLAY","NA","Clay dark grey","UNK"
