"Bore ID","Date","Result","Unit","Quality Code"
"GW080980.1.1",2010-04-15 11:30:00.0,8421,"uS/cm",
"GW080980.1.1",2009-05-21 12:00:00.0,13800,"uS/cm",
"GW080980.1.1",2005-12-16 14:30:00.0,11400,"uS/cm",
"GW080980.1.1",2005-12-16 14:31:00.0,11860,"uS/cm",
"GW080980.1.1",2007-03-28 11:01:00.0,13100,"uS/cm",
"GW080980.1.1",2007-03-28 11:00:00.0,13600,"uS/cm",
"GW080980.1.1",2006-06-29 12:16:00.0,15600,"uS/cm",
"GW080980.1.1",2008-01-08 10:51:00.0,15600,"uS/cm",
"GW080980.1.1",2008-01-08 10:50:00.0,11900,"uS/cm",
"GW080980.1.1",2006-06-29 12:15:00.0,15800,"uS/cm",
"GW080980.1.1",2006-06-01 15:15:00.0,13800,"uS/cm",
"GW080980.1.1",2008-01-08 10:52:00.0,14600,"uS/cm",
"GW080980.1.1",2011-03-31 00:10:00.0,16900,"uS/cm",
"GW080980.1.1",2012-08-22 00:00:00.0,14800,"uS/cm",
