"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW273314.1.1",2014-12-11 00:00:00.0,"SWL",6.65,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-12 00:00:00.0,"SWL",6.66,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-13 00:00:00.0,"SWL",6.65,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-14 00:00:00.0,"SWL",6.63,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-15 00:00:00.0,"SWL",6.61,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-16 00:00:00.0,"SWL",6.59,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-17 00:00:00.0,"SWL",6.58,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-18 00:00:00.0,"SWL",6.63,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-19 00:00:00.0,"SWL",6.67,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-20 00:00:00.0,"SWL",6.69,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-21 00:00:00.0,"SWL",6.72,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-22 00:00:00.0,"SWL",6.73,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-23 00:00:00.0,"SWL",6.74,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-24 00:00:00.0,"SWL",6.73,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-25 00:00:00.0,"SWL",6.73,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-26 00:00:00.0,"SWL",6.75,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-27 00:00:00.0,"SWL",6.77,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-28 00:00:00.0,"SWL",6.76,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-29 00:00:00.0,"SWL",6.71,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-30 00:00:00.0,"SWL",6.69,"quality-E","WaterNSW"
"GW273314.1.1",2014-12-31 00:00:00.0,"SWL",6.69,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-01 00:00:00.0,"SWL",6.68,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-02 00:00:00.0,"SWL",6.71,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-03 00:00:00.0,"SWL",6.69,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-04 00:00:00.0,"SWL",6.67,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-05 00:00:00.0,"SWL",6.65,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-06 00:00:00.0,"SWL",6.64,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-07 00:00:00.0,"SWL",6.61,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-08 00:00:00.0,"SWL",6.58,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-09 00:00:00.0,"SWL",6.55,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-10 00:00:00.0,"SWL",6.54,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-11 00:00:00.0,"SWL",6.55,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-12 00:00:00.0,"SWL",6.55,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-13 00:00:00.0,"SWL",6.55,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-14 00:00:00.0,"SWL",6.54,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-15 00:00:00.0,"SWL",6.57,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-16 00:00:00.0,"SWL",6.60,"quality-E","WaterNSW"
"GW273314.1.1",2015-01-17 00:00:00.0,"SWL",6.61,"quality-E","WaterNSW"
